participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.treatstrategy,player.ctrl_errors_count,player.ctrltaskpaid,player.ctrltaskpaid_errors_count,player.ctrltask1roundpaid,player.ctrltask1roundpaid_errors_count,player.ctrlgroup,player.ctrlgroup_errors_count,player.ctrlfeedback,player.ctrlfeedback_errors_count,player.ctrlpayoffmember,player.ctrlpayoffmember_errors_count,player.ctrlpayoffleader,player.ctrlpayoffleader_errors_count,player.ctrlpaymentrole,player.ctrlpaymentrole_errors_count,player.ctrlbeliefpayment,player.ctrlbeliefpayment_errors_count,player.ctrltruthtelling,player.ctrltruthtelling_errors_count,player.payoff,group.id_in_subsession,group.groupreturnsuccess,group.groupreturnfailure,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
17,eecsmep8,P17,0,74,74,el_end,B_End,2020-10-07 23:01:05.748005+00:00,1,,,0.00,17,0,0,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
18,rqawlhul,P18,0,74,74,el_end,B_End,2020-10-07 23:01:13.630418+00:00,1,,,15.00,18,0,0,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
19,crvel23d,P19,0,74,74,el_end,B_End,2020-10-07 23:06:34.658962+00:00,1,,,20.50,19,0,2,0,1,1,0,1,0,2,1,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
20,j6vzkpq9,P20,0,74,74,el_end,B_End,2020-10-07 23:08:31.298541+00:00,1,,,2.50,20,0,1,0,0,1,0,1,0,2,0,250,0,100,0,3,1,0,0,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
21,be69exmr,P22,0,74,74,el_end,B_End,2020-10-07 23:08:41.210606+00:00,1,,,8.00,21,0,3,0,0,1,0,1,0,2,0,250,0,100,0,3,2,0,1,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
22,ih8lc7o7,P21,0,74,74,el_end,B_End,2020-10-07 23:09:04.492470+00:00,1,,,26.25,22,0,1,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,1,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
23,apb5htfb,P23,0,74,74,el_end,B_End,2020-10-07 23:10:03.670558+00:00,1,,,11.25,23,0,2,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,1,2,1,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
24,yul47kmt,P24,0,74,74,el_end,B_End,2020-10-07 23:11:02.487390+00:00,1,,,0.00,24,0,6,0,1,1,0,1,0,2,2,250,2,100,1,3,0,0,0,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
1,mahz01se,P1,0,74,74,el_end,B_End,2020-10-08 00:51:55.670277+00:00,1,,,22.50,1,1,4,0,1,1,0,1,0,2,0,250,1,100,1,3,0,0,1,2,0,0.00,1,250,50,1,qkirjm3k,201008 Session 2,,,Session 2 SM,0
2,xaotb2ij,P3,0,73,74,el_end,A_Dropout,2020-10-08 00:52:13.235192+00:00,1,,,0.00,2,1,2,0,1,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,1,0.00,1,250,50,1,qkirjm3k,201008 Session 2,,,Session 2 SM,0
