
170308_0941	1	summary	Period	
170308_0941	1	summary	1	
170308_0941	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	ShowupFee	DollarConvert	Exp1Paid	PayoffExp1	Exp2Paid	PayoffExp2	RGPayoff	FinalEarningsECU	FinalEarningsAUD	FinalEarnings	
170308_0941	1	session	1	18.5	0	0	0	0	0	100	10	0	150	1	60	25	185	18.5	18.5	
170308_0941	1	session	2	35	0	0	0	0	0	100	10	1	150	0	310	100	350	35	35	
170308_0941	1	session	3	27	0	0	0	0	0	100	10	1	150	0	50	20	270	27	27	
170308_0941	1	session	4	38	0	0	0	0	0	100	10	1	150	0	100	130	380	38	38	
170308_0941	1	session	5	30	0	0	0	0	0	100	10	1	150	0	70	50	300	30	30	
170308_0941	1	session	6	27	0	0	0	0	0	100	10	0	200	1	70	100	270	27	27	
170308_0941	1	session	7	15	0	0	0	0	0	100	10	1	50	0	260	0	150	15	15	
170308_0941	1	session	8	36	0	0	0	0	0	100	10	0	150	1	260	0	360	36	36	
170308_0941	1	session	9	40	0	0	0	0	0	100	10	1	150	0	70	150	400	40	40	
170308_0941	1	session	10	40	0	0	0	0	0	100	10	1	150	0	500	150	400	40	40	
170308_0941	1	session	11	38.5	0	0	0	0	0	100	10	0	0	1	260	25	385	38.5	38.5	
170308_0941	1	session	12	30	0	0	0	0	0	100	10	1	150	0	60	50	300	30	30	
170308_0941	1	session	13	52	0	0	0	0	0	100	10	1	300	0	70	120	520	52	52	
170308_0941	1	session	14	50	0	0	0	0	0	100	10	0	200	1	300	100	500	50	50	
170308_0941	1	session	15	31	0	0	0	0	0	100	10	0	150	1	60	150	310	31	31	
170308_0941	1	session	16	36	0	0	0	0	0	100	10	1	120	0	260	140	360	36	36	
170308_0941	1	session	17	36	0	0	0	0	0	100	10	0	150	1	260	0	360	36	36	
170308_0941	1	session	18	18	0	0	0	0	0	100	10	0	300	1	80	0	180	18	18	
170308_0941	1	session	19	30	0	0	0	0	0	100	10	0	150	1	50	150	300	30	30	
170308_0941	1	session	20	36	0	0	0	0	0	100	10	1	150	0	310	110	360	36	36	
170308_0941	1	session	21	37.5	0	0	0	0	0	100	10	0	300	1	250	25	375	37.5	37.5	
170308_0941	1	session	22	20	0	0	0	0	0	100	10	1	100	0	50	0	200	20	20	
170308_0941	1	session	23	29	0	0	0	0	0	100	10	0	150	1	70	120	290	29	29	
170308_0941	1	session	24	31	0	0	0	0	0	100	10	0	180	1	100	110	310	31	31	
170308_0941	1	session	25	40	0	0	0	0	0	100	10	1	150	0	300	150	400	40	40	
170308_0941	1	session	26	38	0	0	0	0	0	100	10	1	150	0	300	130	380	38	38	
170308_0941	1	session	27	61	0	0	0	0	0	100	10	0	250	1	500	10	610	61	61	
170308_0941	1	session	28	11	0	0	0	0	0	100	10	1	0	0	60	10	110	11	11	
170308_0941	1	session	29	51	0	0	0	0	0	100	10	0	150	1	310	100	510	51	51	
170308_0941	1	session	30	40	0	0	0	0	0	100	10	1	150	0	60	150	400	40	40	
