
170310_0936	1	summary	Period	
170310_0936	1	summary	1	
170310_0936	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	ShowupFee	DollarConvert	Exp1Paid	PayoffExp1	Exp2Paid	PayoffExp2	RGPayoff	FinalEarningsECU	FinalEarningsAUD	FinalEarnings	
170310_0936	1	session	1	32	0	0	0	0	0	100	10	1	150	0	300	70	320	32	32	
170310_0936	1	session	2	17	0	0	0	0	0	100	10	0	150	1	50	20	170	17	17	
170310_0936	1	session	3	26	0	0	0	0	0	100	10	0	160	1	60	100	260	26	26	
170310_0936	1	session	4	20	0	0	0	0	0	100	10	0	200	1	50	50	200	20	20	
170310_0936	1	session	5	28.5	0	0	0	0	0	100	10	1	150	0	50	35	285	28.5	28.5	
170310_0936	1	session	6	52	0	0	0	0	0	100	10	0	0	1	270	150	520	52	52	
170310_0936	1	session	7	18.5	0	0	0	0	0	100	10	0	150	1	60	25	185	18.5	18.5	
170310_0936	1	session	8	40	0	0	0	0	0	100	10	0	300	1	300	0	400	40	40	
170310_0936	1	session	9	55	0	0	0	0	0	100	10	0	300	1	300	150	550	55	55	
170310_0936	1	session	10	55	0	0	0	0	0	100	10	0	140	1	300	150	550	55	55	
170310_0936	1	session	11	31	0	0	0	0	0	100	10	0	0	1	60	150	310	31	31	
170310_0936	1	session	12	25	0	0	0	0	0	100	10	1	0	0	50	150	250	25	25	
170310_0936	1	session	13	40	0	0	0	0	0	100	10	0	300	1	300	0	400	40	40	
170310_0936	1	session	14	37	0	0	0	0	0	100	10	1	140	0	60	130	370	37	37	
170310_0936	1	session	15	15	0	0	0	0	0	100	10	1	50	0	250	0	150	15	15	
170310_0936	1	session	16	75	0	0	0	0	0	100	10	0	10	1	500	150	750	75	75	
170310_0936	1	session	17	32	0	0	0	0	0	100	10	0	250	1	70	150	320	32	32	
170310_0936	1	session	18	33	0	0	0	0	0	100	10	1	100	0	260	130	330	33	33	
170310_0936	1	session	19	27.5	0	0	0	0	0	100	10	1	150	0	260	25	275	27.5	27.5	
170310_0936	1	session	20	17.5	0	0	0	0	0	100	10	0	150	1	50	25	175	17.5	17.5	
170310_0936	1	session	21	51	0	0	0	0	0	100	10	0	180	1	300	110	510	51	51	
170310_0936	1	session	22	39	0	0	0	0	0	100	10	1	290	0	300	0	390	39	39	
170310_0936	1	session	23	38	0	0	0	0	0	100	10	1	160	0	50	120	380	38	38	
170310_0936	1	session	24	26	0	0	0	0	0	100	10	0	120	1	60	100	260	26	26	
