
170315_0950	1	summary	Period	
170315_0950	1	summary	1	
170315_0950	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	ShowupFee	DollarConvert	Exp1Paid	PayoffExp1	Exp2Paid	PayoffExp2	RGPayoff	FinalEarningsECU	FinalEarningsAUD	FinalEarnings	
170315_0950	1	session	1	22	0	0	0	0	0	100	10	0	250	1	10	110	220	22	22	
170315_0950	1	session	2	26	0	0	0	0	0	100	10	1	10	0	210	150	260	26	26	
170315_0950	1	session	3	14	0	0	0	0	0	100	10	0	100	1	0	40	140	14	14	
170315_0950	1	session	4	20	0	0	0	0	0	100	10	0	150	1	0	100	200	20	20	
170315_0950	1	session	5	37.5	0	0	0	0	0	100	10	0	150	1	250	25	375	37.5	37.5	
170315_0950	1	session	6	31	0	0	0	0	0	100	10	0	150	1	200	10	310	31	31	
170315_0950	1	session	7	14.9	0	0	0	0	0	100	10	0	150	1	0	49	149	14.9	14.9	
170315_0950	1	session	8	20	0	0	0	0	0	100	10	0	200	1	0	100	200	20	20	
170315_0950	1	session	9	36	0	0	0	0	0	100	10	1	150	0	0	110	360	36	36	
170315_0950	1	session	10	14	0	0	0	0	0	100	10	1	10	0	0	30	140	14	14	
170315_0950	1	session	11	38	0	0	0	0	0	100	10	1	150	0	0	130	380	38	38	
170315_0950	1	session	12	34	0	0	0	0	0	100	10	1	150	0	10	90	340	34	34	
170315_0950	1	session	13	31.5	0	0	0	0	0	100	10	0	50	1	200	15	315	31.5	31.5	
170315_0950	1	session	14	25	0	0	0	0	0	100	10	1	0	0	0	150	250	25	25	
170315_0950	1	session	15	50	0	0	0	0	0	100	10	0	100	1	250	150	500	50	50	
170315_0950	1	session	16	17.5	0	0	0	0	0	100	10	0	290	1	50	25	175	17.5	17.5	
170315_0950	1	session	17	38	0	0	0	0	0	100	10	1	150	0	200	130	380	38	38	
170315_0950	1	session	18	45	0	0	0	0	0	100	10	0	300	1	250	100	450	45	45	
170315_0950	1	session	19	34	0	0	0	0	0	100	10	1	150	0	450	90	340	34	34	
170315_0950	1	session	20	46	0	0	0	0	0	100	10	0	200	1	250	110	460	46	46	
170315_0950	1	session	21	20	0	0	0	0	0	100	10	1	100	0	250	0	200	20	20	
170315_0950	1	session	22	30	0	0	0	0	0	100	10	1	200	0	0	0	300	30	30	
170315_0950	1	session	23	35	0	0	0	0	0	100	10	0	290	1	250	0	350	35	35	
170315_0950	1	session	24	27	0	0	0	0	0	100	10	1	150	0	0	20	270	27	27	
