
170321_1048	1	summary	Period	
170321_1048	1	summary	1	
170321_1048	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	ShowupFee	DollarConvert	Exp1Paid	PayoffExp1	Exp2Paid	PayoffExp2	RGPayoff	FinalEarningsECU	FinalEarningsAUD	FinalEarnings	
170321_1048	1	session	1	40	0	0	0	0	0	100	10	1	150	0	60	150	400	40	40	
170321_1048	1	session	2	43	0	0	0	0	0	100	10	0	300	1	310	20	430	43	43	
170321_1048	1	session	3	36	0	0	0	0	0	100	10	1	150	0	250	110	360	36	36	
170321_1048	1	session	4	36	0	0	0	0	0	100	10	1	150	0	250	110	360	36	36	
170321_1048	1	session	5	40	0	0	0	0	0	100	10	1	150	0	60	150	400	40	40	
170321_1048	1	session	6	26	0	0	0	0	0	100	10	1	150	0	310	10	260	26	26	
170321_1048	1	session	7	55	0	0	0	0	0	100	10	0	150	1	300	150	550	55	55	
170321_1048	1	session	8	40	0	0	0	0	0	100	10	1	150	0	50	150	400	40	40	
170321_1048	1	session	9	12	0	0	0	0	0	100	10	1	0	0	70	20	120	12	12	
170321_1048	1	session	10	32	0	0	0	0	0	100	10	0	140	1	70	150	320	32	32	
170321_1048	1	session	11	26	0	0	0	0	0	100	10	0	160	1	50	110	260	26	26	
170321_1048	1	session	12	27	0	0	0	0	0	100	10	1	70	0	50	100	270	27	27	
170321_1048	1	session	13	50	0	0	0	0	0	100	10	0	150	1	300	100	500	50	50	
170321_1048	1	session	14	24	0	0	0	0	0	100	10	0	150	1	50	90	240	24	24	
170321_1048	1	session	15	39	0	0	0	0	0	100	10	0	150	1	250	40	390	39	39	
170321_1048	1	session	16	16	0	0	0	0	0	100	10	0	150	1	60	0	160	16	16	
170321_1048	1	session	17	71	0	0	0	0	0	100	10	0	150	1	500	110	710	71	71	
170321_1048	1	session	18	56	0	0	0	0	0	100	10	0	150	1	310	150	560	56	56	
170321_1048	1	session	19	56	0	0	0	0	0	100	10	0	150	1	310	150	560	56	56	
170321_1048	1	session	20	35	0	0	0	0	0	100	10	1	150	0	260	100	350	35	35	
170321_1048	1	session	21	63	0	0	0	0	0	100	10	0	150	1	510	20	630	63	63	
170321_1048	1	session	22	25	0	0	0	0	0	100	10	1	150	0	260	0	250	25	25	
170321_1048	1	session	23	31	0	0	0	0	0	100	10	0	150	1	60	150	310	31	31	
170321_1048	1	session	24	44	0	0	0	0	0	100	10	1	230	0	260	110	440	44	44	
