
170310_1304	1	summary	Period	
170310_1304	1	summary	1	
170310_1304	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	ShowupFee	DollarConvert	Exp1Paid	PayoffExp1	Exp2Paid	PayoffExp2	RGPayoff	FinalEarningsECU	FinalEarningsAUD	FinalEarnings	
170310_1304	1	session	1	40	0	0	0	0	0	100	10	1	300	0	300	0	400	40	40	
170310_1304	1	session	2	24	0	0	0	0	0	100	10	0	150	1	50	90	240	24	24	
170310_1304	1	session	3	25	0	0	0	0	0	100	10	0	150	1	50	100	250	25	25	
170310_1304	1	session	4	53	0	0	0	0	0	100	10	1	300	0	260	130	530	53	53	
170310_1304	1	session	5	41	0	0	0	0	0	100	10	1	300	0	260	10	410	41	41	
170310_1304	1	session	6	40	0	0	0	0	0	100	10	0	300	1	300	0	400	40	40	
170310_1304	1	session	7	25	0	0	0	0	0	100	10	1	0	0	50	150	250	25	25	
170310_1304	1	session	8	35	0	0	0	0	0	100	10	0	150	1	250	0	350	35	35	
170310_1304	1	session	9	16	0	0	0	0	0	100	10	0	150	1	50	10	160	16	16	
170310_1304	1	session	10	43	0	0	0	0	0	100	10	0	100	1	300	30	430	43	43	
170310_1304	1	session	11	27.5	0	0	0	0	0	100	10	1	150	0	250	25	275	27.5	27.5	
170310_1304	1	session	12	30	0	0	0	0	0	100	10	0	0	1	50	150	300	30	30	
170310_1304	1	session	13	27.5	0	0	0	0	0	100	10	1	150	0	60	25	275	27.5	27.5	
170310_1304	1	session	14	27	0	0	0	0	0	100	10	1	50	0	50	120	270	27	27	
170310_1304	1	session	15	46	0	0	0	0	0	100	10	0	200	1	260	100	460	46	46	
170310_1304	1	session	16	62	0	0	0	0	0	100	10	0	300	1	500	20	620	62	62	
170310_1304	1	session	17	45	0	0	0	0	0	100	10	1	300	0	60	50	450	45	45	
170310_1304	1	session	18	40	0	0	0	0	0	100	10	0	300	1	300	0	400	40	40	
170310_1304	1	session	19	45	0	0	0	0	0	100	10	0	0	1	250	100	450	45	45	
170310_1304	1	session	20	36	0	0	0	0	0	100	10	1	150	0	260	110	360	36	36	
170310_1304	1	session	21	27	0	0	0	0	0	100	10	0	0	1	50	120	270	27	27	
170310_1304	1	session	22	11	0	0	0	0	0	100	10	1	0	0	250	10	110	11	11	
170310_1304	1	session	23	25	0	0	0	0	0	100	10	1	0	0	500	150	250	25	25	
170310_1304	1	session	24	55	0	0	0	0	0	100	10	0	0	1	300	150	550	55	55	
170310_1304	1	session	25	40	0	0	0	0	0	100	10	0	300	1	300	0	400	40	40	
170310_1304	1	session	26	37	0	0	0	0	0	100	10	0	150	1	250	20	370	37	37	
170310_1304	1	session	27	40	0	0	0	0	0	100	10	1	300	0	260	0	400	40	40	
170310_1304	1	session	28	30	0	0	0	0	0	100	10	0	250	1	50	150	300	30	30	
170310_1304	1	session	29	51	0	0	0	0	0	100	10	1	300	0	500	110	510	51	51	
170310_1304	1	session	30	67	0	0	0	0	0	100	10	0	250	1	500	70	670	67	67	
