participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.consent,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
6,pqqyfmwt,P7,0,74,74,el_end,B_End,2020-10-09 02:54:15.091160+00:00,1,,,20.00,6,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
7,vbcmd4tl,P8,0,74,74,el_end,B_End,2020-10-09 02:54:26.193370+00:00,1,,,22.50,7,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
8,s0em0xu4,P5,0,74,74,el_end,B_End,2020-10-09 02:54:33.166547+00:00,1,,,15.00,8,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
9,xdpd8ynw,P9,0,74,74,el_end,B_End,2020-10-09 02:54:39.127192+00:00,1,,,10.50,9,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
10,ldz8t5t3,P11,0,74,74,el_end,B_End,2020-10-09 02:55:15.756919+00:00,1,,,20.00,10,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
11,1jypsupz,P12,0,74,74,el_end,B_End,2020-10-09 02:55:21.068373+00:00,1,,,1.00,11,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
12,5uazt031,P10,0,74,74,el_end,B_End,2020-10-09 02:55:50.077423+00:00,1,,,1.00,12,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
13,5e7tg1y1,P13,0,74,74,el_end,B_End,2020-10-09 02:55:59.610219+00:00,1,,,22.50,13,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
14,p8jmk7id,P15,0,74,74,el_end,B_End,2020-10-09 02:56:34.104039+00:00,1,,,11.50,14,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
15,jf01wwyn,P14,0,74,74,el_end,B_End,2020-10-09 02:56:40.661536+00:00,1,,,15.50,15,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
16,3cqc624z,P16,0,74,74,el_end,B_End,2020-10-09 02:56:42.811870+00:00,1,,,22.50,16,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
17,iijucjwc,P17,0,74,74,el_end,B_End,2020-10-09 02:56:53.687892+00:00,1,,,17.50,17,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
18,d8nqlpmk,P18,0,74,74,el_end,B_End,2020-10-09 02:57:29.950982+00:00,1,,,10.00,18,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
19,ntnar1rj,P19,0,74,74,el_end,B_End,2020-10-09 03:00:05.307401+00:00,1,,,17.50,19,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
20,mqhek0s5,P20,0,74,74,el_end,B_End,2020-10-09 03:00:07.520097+00:00,1,,,10.00,20,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
21,wm4qg7nn,P21,0,74,74,el_end,B_End,2020-10-09 03:00:33.471297+00:00,1,,,0.00,21,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
22,j0ry4g14,P23,0,74,74,el_end,B_End,2020-10-09 03:00:53.270197+00:00,1,,,16.25,22,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
23,frbvq42r,P22,0,74,74,el_end,B_End,2020-10-09 03:01:17.167458+00:00,1,,,2.50,23,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
24,19xsbpxx,P24,0,74,74,el_end,B_End,2020-10-09 03:01:25.146550+00:00,1,,,7.50,24,1,0.00,1,1,dhkj4ww2,201009 Session 2,,,Session 5 NSM,0
1,tw49rzrz,P1,0,74,74,el_end,B_End,2020-10-11 22:51:55.616662+00:00,1,,,16.25,1,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
2,i5ktans4,P3,0,74,74,el_end,B_End,2020-10-11 22:52:28.224993+00:00,1,,,1.25,2,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
3,duqbanr6,P4,0,74,74,el_end,B_End,2020-10-11 22:52:43.635219+00:00,1,,,3.75,3,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
4,7e4m5lbw,P5,0,74,74,el_end,B_End,2020-10-11 22:52:47.482888+00:00,1,,,3.00,4,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
5,2y03o9kv,P6,0,74,74,el_end,B_End,2020-10-11 22:53:02.570036+00:00,1,,,1.75,5,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
6,mta6xfu7,P2,0,74,74,el_end,B_End,2020-10-11 22:53:56.447749+00:00,1,,,7.50,6,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
7,887yoyt3,P7,0,74,74,el_end,B_End,2020-10-11 22:56:25.946771+00:00,1,,,20.00,7,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
8,8lecjf3f,P8,0,74,74,el_end,B_End,2020-10-11 22:56:49.242733+00:00,1,,,8.00,8,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
9,r5i4vuwp,P9,0,74,74,el_end,B_End,2020-10-11 22:57:02.413662+00:00,1,,,10.00,9,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
10,36kkbom6,P10,0,74,74,el_end,B_End,2020-10-11 22:57:19.052997+00:00,1,,,20.50,10,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
11,puqs3t8k,P12,0,74,74,el_end,B_End,2020-10-11 22:57:47.312455+00:00,1,,,12.50,11,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
12,nni3314c,P11,0,74,74,el_end,B_End,2020-10-11 22:58:46.302353+00:00,1,,,0.00,12,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
13,ra0h88yq,P13,0,74,74,el_end,B_End,2020-10-11 22:59:41.699244+00:00,1,,,20.00,13,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
14,55gsfvn0,P15,0,74,74,el_end,B_End,2020-10-11 22:59:54.028761+00:00,1,,,0.00,14,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
15,r2yei2zt,P16,0,74,74,el_end,B_End,2020-10-11 23:00:00.326613+00:00,1,,,17.50,15,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
16,8w4wt02v,P14,0,74,74,el_end,B_End,2020-10-11 23:00:12.927653+00:00,1,,,15.00,16,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
17,pl4vy2mh,P17,0,74,74,el_end,B_End,2020-10-11 23:00:14.373887+00:00,1,,,2.50,17,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
18,a5hil5o9,P18,0,74,74,el_end,B_End,2020-10-11 23:00:22.578988+00:00,1,,,2.50,18,1,0.00,1,1,wnb3s06j,201012 Session 1,,,Session 6 NSM,0
