
170314_0850	1	summary	Period	
170314_0850	1	summary	1	
170314_0850	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	ShowupFee	DollarConvert	Exp1Paid	PayoffExp1	Exp2Paid	PayoffExp2	RGPayoff	FinalEarningsECU	FinalEarningsAUD	FinalEarnings	
170314_0850	1	session	1	50.90000000000001	0	0	0	0	0	100	10	1	299	0	50	110	509	50.9	50.90000000000001	
170314_0850	1	session	2	20	0	0	0	0	0	100	10	0	150	1	10	90	200	20	20	
170314_0850	1	session	3	55	0	0	0	0	0	100	10	1	300	0	0	150	550	55	55	
170314_0850	1	session	4	40	0	0	0	0	0	100	10	1	180	0	0	120	400	40	40	
170314_0850	1	session	5	51	0	0	0	0	0	100	10	1	300	0	200	110	510	51	51	
170314_0850	1	session	6	26	0	0	0	0	0	100	10	1	50	0	450	110	260	26	26	
170314_0850	1	session	7	37	0	0	0	0	0	100	10	1	180	0	200	90	370	37	37	
170314_0850	1	session	8	25	0	0	0	0	0	100	10	1	0	0	0	150	250	25	25	
170314_0850	1	session	9	40	0	0	0	0	0	100	10	1	150	0	250	150	400	40	40	
170314_0850	1	session	10	40	0	0	0	0	0	100	10	0	0	1	200	100	400	40	40	
170314_0850	1	session	11	22.5	0	0	0	0	0	100	10	1	100	0	0	25	225	22.5	22.5	
170314_0850	1	session	12	38	0	0	0	0	0	100	10	0	150	1	250	30	380	38	38	
170314_0850	1	session	13	11	0	0	0	0	0	100	10	0	300	1	10	0	110	11	11	
170314_0850	1	session	14	21	0	0	0	0	0	100	10	0	200	1	0	110	210	21	21	
170314_0850	1	session	15	50	0	0	0	0	0	100	10	1	250	0	10	150	500	50	50	
170314_0850	1	session	16	25	0	0	0	0	0	100	10	1	120	0	450	30	250	25	25	
170314_0850	1	session	17	25	0	0	0	0	0	100	10	1	150	0	250	0	250	25	25	
170314_0850	1	session	18	31	0	0	0	0	0	100	10	0	300	1	210	0	310	31	31	
170314_0850	1	session	19	36	0	0	0	0	0	100	10	0	160	1	250	10	360	36	36	
170314_0850	1	session	20	25	0	0	0	0	0	100	10	1	0	0	210	150	250	25	25	
170314_0850	1	session	21	19.1	0	0	0	0	0	100	10	1	1	0	200	90	191	19.1	19.1	
170314_0850	1	session	22	30	0	0	0	0	0	100	10	0	200	1	200	0	300	30	30	
170314_0850	1	session	23	39	0	0	0	0	0	100	10	0	150	1	250	40	390	39	39	
170314_0850	1	session	24	10	0	0	0	0	0	100	10	0	150	1	0	0	100	10	10	
170314_0850	1	session	25	11.5	0	0	0	0	0	100	10	0	300	1	0	15	115	11.5	11.5	
170314_0850	1	session	26	12	0	0	0	0	0	100	10	1	0	0	0	20	120	12	12	
170314_0850	1	session	27	25	0	0	0	0	0	100	10	0	300	1	0	150	250	25	25	
170314_0850	1	session	28	35	0	0	0	0	0	100	10	0	120	1	250	0	350	35	35	
170314_0850	1	session	29	55	0	0	0	0	0	100	10	1	300	0	200	150	550	55	55	
170314_0850	1	session	30	38.5	0	0	0	0	0	100	10	0	0	1	250	35	385	38.5	38.5	
