
170308_1251	1	summary	Period	
170308_1251	1	summary	1	
170308_1251	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	ShowupFee	DollarConvert	Exp1Paid	PayoffExp1	Exp2Paid	PayoffExp2	RGPayoff	FinalEarningsECU	FinalEarningsAUD	FinalEarnings	
170308_1251	1	session	1	27.5	0	0	0	0	0	100	10	1	150	0	250	25	275	27.5	27.5	
170308_1251	1	session	2	39	0	0	0	0	0	100	10	1	140	0	300	150	390	39	39	
170308_1251	1	session	3	35	0	0	0	0	0	100	10	0	150	1	100	150	350	35	35	
170308_1251	1	session	4	50	0	0	0	0	0	100	10	0	150	1	300	100	500	50	50	
170308_1251	1	session	5	40	0	0	0	0	0	100	10	1	150	0	50	150	400	40	40	
170308_1251	1	session	6	16.5	0	0	0	0	0	100	10	0	150	1	50	15	165	16.5	16.5	
170308_1251	1	session	7	22.5	0	0	0	0	0	100	10	1	100	0	50	25	225	22.5	22.5	
170308_1251	1	session	8	25	0	0	0	0	0	100	10	1	0	0	50	150	250	25	25	
170308_1251	1	session	9	33	0	0	0	0	0	100	10	1	150	0	50	80	330	33	33	
170308_1251	1	session	10	40	0	0	0	0	0	100	10	1	300	0	500	0	400	40	40	
170308_1251	1	session	11	38	0	0	0	0	0	100	10	1	150	0	60	130	380	38	38	
170308_1251	1	session	12	30	0	0	0	0	0	100	10	1	150	0	50	50	300	30	30	
170308_1251	1	session	13	42	0	0	0	0	0	100	10	1	210	0	260	110	420	42	42	
170308_1251	1	session	14	50	0	0	0	0	0	100	10	0	160	1	300	100	500	50	50	
170308_1251	1	session	15	33	0	0	0	0	0	100	10	1	150	0	50	80	330	33	33	
170308_1251	1	session	16	26	0	0	0	0	0	100	10	0	200	1	60	100	260	26	26	
170308_1251	1	session	17	38	0	0	0	0	0	100	10	1	150	0	100	130	380	38	38	
170308_1251	1	session	18	20	0	0	0	0	0	100	10	0	150	1	50	50	200	20	20	
170308_1251	1	session	19	40	0	0	0	0	0	100	10	1	150	0	300	150	400	40	40	
170308_1251	1	session	20	46	0	0	0	0	0	100	10	0	150	1	260	100	460	46	46	
170308_1251	1	session	21	25	0	0	0	0	0	100	10	0	150	1	50	100	250	25	25	
170308_1251	1	session	22	25	0	0	0	0	0	100	10	1	150	0	300	0	250	25	25	
170308_1251	1	session	23	25	0	0	0	0	0	100	10	1	150	0	70	0	250	25	25	
170308_1251	1	session	24	15	0	0	0	0	0	100	10	0	150	1	50	0	150	15	15	
170308_1251	1	session	25	37.5	0	0	0	0	0	100	10	1	175	0	300	100	375	37.5	37.5	
170308_1251	1	session	26	25	0	0	0	0	0	100	10	0	160	1	50	100	250	25	25	
170308_1251	1	session	27	50	0	0	0	0	0	100	10	0	170	1	250	150	500	50	50	
170308_1251	1	session	28	40	0	0	0	0	0	100	10	1	150	0	60	150	400	40	40	
170308_1251	1	session	29	61.5	0	0	0	0	0	100	10	0	200	1	500	15	615	61.5	61.5	
170308_1251	1	session	30	31	0	0	0	0	0	100	10	0	210	1	60	150	310	31	31	
